host,Datetime,CPU utilization (%),Memory used  (%)
TWKHH01OPTIPW6V,2021/7/22 01:47,75.9528,62.7421
TWKHH01OPTIPW6V,2021/7/22 01:44,74.2866,62.8995
TWKHH01OPTIPW6V,2021/7/22 01:41,72.5124,62.7201
TWKHH01OPTIPW6V,2021/7/22 01:38,74.7506,62.4479
TWKHH01OPTIPW6V,2021/7/22 01:35,76.2344,62.1177
TWKHH01OPTIPW6V,2021/7/22 01:32,76.6719,61.5868
TWKHH01OPTIPW6V,2021/7/22 01:29,76.2205,60.8961
TWKHH01OPTIPW6V,2021/7/22 01:26,76.4193,62.9664
TWKHH01OPTIPW6V,2021/7/22 01:23,73.9045,62.9216
TWKHH01OPTIPW6V,2021/7/22 01:20,73.6683,62.3474
TWKHH01OPTIPW6V,2021/7/22 01:17,75.173,62.0007
TWKHH01OPTIPW6V,2021/7/22 01:14,73.4985,61.361
TWKHH01OPTIPW6V,2021/7/22 01:11,75.903,60.3373
TWKHH01OPTIPW6V,2021/7/22 01:08,73.1446,60.2843
TWKHH01OPTIPW6V,2021/7/22 01:05,75.8209,60.3938
TWKHH01OPTIPW6V,2021/7/22 01:02,76.2059,60.1422
TWKHH01OPTIPW6V,2021/7/22 00:59,75.5528,61.9078
TWKHH01OPTIPW6V,2021/7/22 00:56,75.0398,60.1685
TWKHH01OPTIPW6V,2021/7/22 00:53,74.0647,60.0522
TWKHH01OPTIPW6V,2021/7/22 00:50,74.7914,61.7045
TWKHH01OPTIPW6V,2021/7/22 00:47,75.2892,61.6915
TWKHH01OPTIPW6V,2021/7/22 00:44,76.3002,61.2475
TWKHH01OPTIPW6V,2021/7/22 00:41,75.0726,61.0265
TWKHH01OPTIPW6V,2021/7/22 00:38,80.9333,76.8389
TWKHH01OPTIPW6V,2021/7/22 00:35,94.384,74.8144
TWKHH01OPTIPW6V,2021/7/22 00:32,85.0662,68.8398
TWKHH01OPTIPW6V,2021/7/22 00:29,88.7761,69.397
TWKHH01OPTIPW6V,2021/7/22 00:26,87.5789,60.0684
TWKHH01OPTIPW6V,2021/7/22 00:23,75.2441,75.9127
TWKHH01OPTIPW6V,2021/7/22 00:20,87.1893,60.0876
TWKHH01OPTIPW6V,2021/7/22 00:17,75.1217,60.1232
TWKHH01OPTIPW6V,2021/7/22 00:14,76.8802,59.9823
TWKHH01OPTIPW6V,2021/7/22 00:11,75.6852,59.0345
TWKHH01OPTIPW6V,2021/7/22 00:08,80.1233,69.9832
TWKHH01OPTIPW6V,2021/7/22 00:05,87.8444,68.7917
TWKHH01OPTIPW6V,2021/7/22 00:02,85.1682,60.4552
TWKHH01OPTIPW6V,2021/7/21 23:59,77.4923,60.3811
TWKHH01OPTIPW6V,2021/7/21 23:56,75.9769,59.6362
TWKHH01OPTIPW6V,2021/7/21 23:53,75.3426,59.6886
TWKHH01OPTIPW6V,2021/7/21 23:50,75.7665,58.8589
TWKHH01OPTIPW6V,2021/7/21 23:47,75.247,58.8426
TWKHH01OPTIPW6V,2021/7/21 23:44,76.4989,58.6808
TWKHH01OPTIPW6V,2021/7/21 23:41,82.2593,66.8631
TWKHH01OPTIPW6V,2021/7/21 23:38,85.6122,58.7901
TWKHH01OPTIPW6V,2021/7/21 23:35,74.3039,58.812
TWKHH01OPTIPW6V,2021/7/21 23:32,76.217,59.0076
TWKHH01OPTIPW6V,2021/7/21 23:29,70.4412,58.6139
TWKHH01OPTIPW6V,2021/7/21 23:26,73.2965,67.5707
TWKHH01OPTIPW6V,2021/7/21 23:23,86.3948,61.156
TWKHH01OPTIPW6V,2021/7/21 23:20,86.1801,66.5796
