,earlystop_patience,kernel_size_1,latent_sample_rate,nb_stacks,start_filter_no,loss,logcosh,val_loss,val_logcosh,epochs_trained,date_time,model_name
0,28,4,4,1,16,0.007092586,0.007092586,0.008724679,0.008724679,200,20210928-040606,TCNAE-20210928-040606:_c=4.00_f=16_k=4_stk=1_er=28
0,24,11,4,4,32,0.00261209,0.00261209,0.008177174,0.008177174,200,20210928-012345,TCNAE-20210928-012345:_c=4.00_f=32_k=11_stk=4_er=24
0,48,9,8,2,64,0.000448146,0.000448146,0.007861824,0.007861824,200,20210928-091225,TCNAE-20210928-091225:_c=8.00_f=64_k=9_stk=2_er=48
0,31,13,8,1,128,0.000227141,0.000227141,0.007807925,0.007807925,200,20210928-141229,TCNAE-20210928-141229:_c=8.00_f=128_k=13_stk=1_er=31
0,35,16,4,2,16,0.002502806,0.002502806,0.007762665,0.007762665,200,20210928-081337,TCNAE-20210928-081337:_c=4.00_f=16_k=16_stk=2_er=35
0,34,8,8,2,64,0.00051888,0.00051888,0.007392038,0.007392038,200,20210928-120311,TCNAE-20210928-120311:_c=8.00_f=64_k=8_stk=2_er=34
0,32,9,8,1,64,0.000612506,0.000612506,0.007282112,0.007282112,200,20210928-060942,TCNAE-20210928-060942:_c=8.00_f=64_k=9_stk=1_er=32
0,30,18,4,1,16,0.003501109,0.003501109,0.007188669,0.007188669,200,20210928-015120,TCNAE-20210928-015120:_c=4.00_f=16_k=18_stk=1_er=30
0,37,16,4,1,16,0.00412294,0.00412294,0.007161547,0.007161547,200,20210928-082945,TCNAE-20210928-082945:_c=4.00_f=16_k=16_stk=1_er=37
0,26,19,4,1,16,0.003511294,0.003511294,0.007024106,0.007024106,200,20210928-130245,TCNAE-20210928-130245:_c=4.00_f=16_k=19_stk=1_er=26
0,23,7,8,1,64,0.000549821,0.000549821,0.006878839,0.006878839,200,20210928-063524,TCNAE-20210928-063524:_c=8.00_f=64_k=7_stk=1_er=23
